time:2024-03-23, 02:03:28, batch_size:2, trainable_parameters_num:463987712, warmup_steps:2000, max_lr:1e-05, min_lr:5e-07
time:2024-03-23, 02:14:26, iters:1000, iters_average_Loss:1.5689, iters_average_logprobability_for_Positive:-1.4239, iters_average_logprobability_for_Negetive:-1.5741, iters_average_Log_Odds_Ratio:-0.7248, iters_average_Log_Odds:0.1924
time:2024-03-23, 02:19:58, iters:1500, iters_average_Loss:1.5248, iters_average_logprobability_for_Positive:-1.3807, iters_average_logprobability_for_Negetive:-1.5127, iters_average_Log_Odds_Ratio:-0.7202, iters_average_Log_Odds:0.1785
time:2024-03-23, 02:25:33, iters:2000, iters_average_Loss:1.5296, iters_average_logprobability_for_Positive:-1.3827, iters_average_logprobability_for_Negetive:-1.5136, iters_average_Log_Odds_Ratio:-0.7344, iters_average_Log_Odds:0.1599
time:2024-03-23, 02:31:02, iters:2500, iters_average_Loss:1.5298, iters_average_logprobability_for_Positive:-1.3820, iters_average_logprobability_for_Negetive:-1.5052, iters_average_Log_Odds_Ratio:-0.7392, iters_average_Log_Odds:0.1600
time:2024-03-23, 02:36:20, iters:3000, iters_average_Loss:1.5161, iters_average_logprobability_for_Positive:-1.3687, iters_average_logprobability_for_Negetive:-1.4835, iters_average_Log_Odds_Ratio:-0.7368, iters_average_Log_Odds:0.1470
time:2024-03-23, 02:41:45, iters:3500, iters_average_Loss:1.5280, iters_average_logprobability_for_Positive:-1.3781, iters_average_logprobability_for_Negetive:-1.4764, iters_average_Log_Odds_Ratio:-0.7496, iters_average_Log_Odds:0.1320
time:2024-03-23, 02:47:14, iters:4000, iters_average_Loss:1.4556, iters_average_logprobability_for_Positive:-1.3095, iters_average_logprobability_for_Negetive:-1.4596, iters_average_Log_Odds_Ratio:-0.7305, iters_average_Log_Odds:0.1970
time:2024-03-23, 02:58:26, iters:5000, iters_average_Loss:1.5139, iters_average_logprobability_for_Positive:-1.3639, iters_average_logprobability_for_Negetive:-1.4484, iters_average_Log_Odds_Ratio:-0.7499, iters_average_Log_Odds:0.1134
time:2024-03-23, 03:03:53, iters:5500, iters_average_Loss:1.5259, iters_average_logprobability_for_Positive:-1.3746, iters_average_logprobability_for_Negetive:-1.4596, iters_average_Log_Odds_Ratio:-0.7568, iters_average_Log_Odds:0.1092
time:2024-03-23, 03:09:13, iters:6000, iters_average_Loss:1.5563, iters_average_logprobability_for_Positive:-1.4079, iters_average_logprobability_for_Negetive:-1.5393, iters_average_Log_Odds_Ratio:-0.7424, iters_average_Log_Odds:0.1759
time:2024-03-23, 03:14:46, iters:6500, iters_average_Loss:1.5121, iters_average_logprobability_for_Positive:-1.3659, iters_average_logprobability_for_Negetive:-1.4878, iters_average_Log_Odds_Ratio:-0.7311, iters_average_Log_Odds:0.1585
time:2024-03-23, 03:20:17, iters:7000, iters_average_Loss:1.5149, iters_average_logprobability_for_Positive:-1.3678, iters_average_logprobability_for_Negetive:-1.4779, iters_average_Log_Odds_Ratio:-0.7353, iters_average_Log_Odds:0.1517
time:2024-03-23, 03:25:46, iters:7500, iters_average_Loss:1.5009, iters_average_logprobability_for_Positive:-1.3539, iters_average_logprobability_for_Negetive:-1.4631, iters_average_Log_Odds_Ratio:-0.7347, iters_average_Log_Odds:0.1390
time:2024-03-23, 03:31:21, iters:8000, iters_average_Loss:1.4721, iters_average_logprobability_for_Positive:-1.3274, iters_average_logprobability_for_Negetive:-1.4479, iters_average_Log_Odds_Ratio:-0.7238, iters_average_Log_Odds:0.1693
time:2024-03-23, 03:36:42, iters:8500, iters_average_Loss:1.5232, iters_average_logprobability_for_Positive:-1.3721, iters_average_logprobability_for_Negetive:-1.4823, iters_average_Log_Odds_Ratio:-0.7552, iters_average_Log_Odds:0.1458
time:2024-03-23, 03:42:14, iters:9000, iters_average_Loss:1.5003, iters_average_logprobability_for_Positive:-1.3556, iters_average_logprobability_for_Negetive:-1.4749, iters_average_Log_Odds_Ratio:-0.7238, iters_average_Log_Odds:0.1624
time:2024-03-23, 03:47:43, iters:9500, iters_average_Loss:1.4674, iters_average_logprobability_for_Positive:-1.3228, iters_average_logprobability_for_Negetive:-1.4492, iters_average_Log_Odds_Ratio:-0.7230, iters_average_Log_Odds:0.1739
time:2024-03-23, 03:53:26, iters:10000, iters_average_Loss:1.4845, iters_average_logprobability_for_Positive:-1.3408, iters_average_logprobability_for_Negetive:-1.4825, iters_average_Log_Odds_Ratio:-0.7186, iters_average_Log_Odds:0.1824
time:2024-03-23, 03:58:52, iters:10500, iters_average_Loss:1.4894, iters_average_logprobability_for_Positive:-1.3428, iters_average_logprobability_for_Negetive:-1.4554, iters_average_Log_Odds_Ratio:-0.7330, iters_average_Log_Odds:0.1389
time:2024-03-23, 04:04:15, iters:11000, iters_average_Loss:1.4902, iters_average_logprobability_for_Positive:-1.3467, iters_average_logprobability_for_Negetive:-1.4923, iters_average_Log_Odds_Ratio:-0.7172, iters_average_Log_Odds:0.1855
time:2024-03-23, 04:09:34, iters:11500, iters_average_Loss:1.5110, iters_average_logprobability_for_Positive:-1.3627, iters_average_logprobability_for_Negetive:-1.4894, iters_average_Log_Odds_Ratio:-0.7411, iters_average_Log_Odds:0.1580
time:2024-03-23, 04:15:11, iters:12000, iters_average_Loss:1.5055, iters_average_logprobability_for_Positive:-1.3574, iters_average_logprobability_for_Negetive:-1.4544, iters_average_Log_Odds_Ratio:-0.7402, iters_average_Log_Odds:0.1266
time:2024-03-23, 04:20:45, iters:12500, iters_average_Loss:1.4605, iters_average_logprobability_for_Positive:-1.3208, iters_average_logprobability_for_Negetive:-1.4815, iters_average_Log_Odds_Ratio:-0.6987, iters_average_Log_Odds:0.2121
